median_ndvi,weighted_mean_ndvi,sd_ndvi,median_psri,weighted_mean_psri,sd_psri,median_rdvi,weighted_mean_rdvi,sd_rdvi,median_gndvi,weighted_mean_gndvi,sd_gndvi,median_wdrvi,weighted_mean_wdrvi,sd_wdrvi,median_msavi2,weighted_mean_msavi2,sd_msavi2,median_vdvi,weighted_mean_vdvi,sd_vdvi,median_rvi,weighted_mean_rvi,sd_rvi,median_evi,weighted_mean_evi,sd_evi,median_stvi,weighted_mean_stvi,sd_stvi,BA
0.836195827,0.83596076,0.00363853,-0.035605066,-0.035914693,0.003180938,54.99953651,54.78949687,1.220929848,0.777206302,0.77737223,0.005480261,0.383085504,0.382474202,0.010304805,-14514,-14369.18109,599.0880338,0.283352047,0.283180844,0.011699903,0.089208454,0.089352092,0.002159716,1.966252983,1.967975378,0.022119866,0.921394885,0.921549152,0.003390568,40.18727836
0.790374905,0.790639013,0.004347355,-0.028431859,-0.028664216,0.003229798,49.18560028,49.20160602,1.219698657,0.746015728,0.745833747,0.00401575,0.261493474,0.262214565,0.010789896,-12244,-12252.82256,562.0148751,0.248804919,0.248780785,0.012364986,0.117084477,0.116926202,0.002712856,1.744754612,1.745611954,0.026278876,0.882514089,0.882718184,0.004705541,23.14582211
0.843428612,0.843361778,0.003135735,-0.026918345,-0.026903662,0.002228532,56.97878456,56.81513655,0.692151255,0.798991799,0.798756308,0.002442463,0.40382956,0.403684941,0.009082046,-15372,-15311.89002,342.6768919,0.27079235,0.268969298,0.010231177,0.084934875,0.084977784,0.001846348,1.936861098,1.937967083,0.023203117,0.917442024,0.917698146,0.003616103,17.99391175
0.795811236,0.795607405,0.008193333,-0.02277274,-0.023702662,0.007293563,49.66287041,49.62290469,1.7046808,0.75896275,0.758184555,0.006176056,0.275092378,0.274783206,0.020499161,-12380,-12387.06746,726.9140618,0.231380619,0.232780188,0.026927031,0.113702808,0.113849115,0.005097464,1.764109075,1.768223074,0.036586143,0.886160135,0.88692127,0.006792816,24.36432023
0.814896226,0.815001944,0.004591636,-0.029360274,-0.028945123,0.003181726,51.44786263,51.46436122,0.887223078,0.767585009,0.768546845,0.004706745,0.324541137,0.324902845,0.012270151,-13030,-13001.32722,396.7865247,0.263230652,0.263186472,0.01232731,0.101991374,0.101934067,0.002784587,1.823700249,1.823757623,0.025460264,0.897658318,0.897686567,0.004404928,36.03159216
0.803526014,0.805098285,0.0095384,-0.027746562,-0.028305933,0.003437674,49.97619438,50.76239056,1.486059273,0.762765884,0.760139313,0.009757927,0.294754744,0.299154235,0.024630419,-12478,-12808.154,631.0473198,0.250079572,0.250325041,0.012804379,0.108938817,0.108003928,0.005861682,1.801662803,1.810555221,0.038103272,0.893292665,0.894688845,0.006862801,39.29310569
0.822861344,0.823293406,0.004623624,-0.020589527,-0.020637689,0.002866357,52.64155579,52.45842215,0.685827988,0.789260358,0.789619732,0.003587033,0.346003026,0.347263799,0.012625031,-13482,-13371.36886,297.6404023,0.234318674,0.234821226,0.014128916,0.097176161,0.096922878,0.002781486,1.85441196,1.857154315,0.025768195,0.903264165,0.903687358,0.004337711,39.80370246
0.770655572,0.770132605,0.008943107,-0.033625176,-0.032003791,0.006377125,48.00647354,47.54796805,2.989808445,0.719910949,0.72135776,0.007067904,0.21386791,0.21288967,0.020941419,-12024,-11777.50755,1388.076369,0.248064585,0.243763034,0.015943485,0.129525155,0.12988699,0.005714632,1.716946483,1.704481623,0.0536116,0.876659274,0.873737941,0.010189309,45.69020515
0.850605667,0.850503667,0.002542218,-0.020926757,-0.021055065,0.001769703,56.876091,56.88909119,0.570786307,0.815418005,0.815141733,0.002242106,0.424870461,0.42459819,0.007530991,-15236,-15221.92417,278.2398734,0.258620679,0.257993869,0.009568964,0.080727272,0.080788907,0.001484965,1.932157993,1.931569371,0.016321843,0.917278528,0.917312903,0.00258669,7.25354788
0.858647704,0.858226373,0.004417191,-0.026551729,-0.026226022,0.001804795,57.90853882,57.67638097,1.536247566,0.814956784,0.814032027,0.0058951,0.449006796,0.447819995,0.013345949,-15622,-15511.8921,757.1820539,0.273391858,0.274801767,0.010110064,0.076051164,0.076301281,0.002562652,2.002791882,1.998954074,0.022586525,0.928530097,0.927804397,0.003442264,26.89621772
0.840966493,0.84067014,0.003383212,-0.029192234,-0.029556689,0.002513651,57.94148254,57.820629,0.401752781,0.791967034,0.79193125,0.004546656,0.396716878,0.395921577,0.009727062,-15936,-15907.89305,181.0513279,0.280102208,0.281542079,0.010470808,0.086385883,0.086564998,0.001997312,1.913926005,1.915194075,0.022816193,0.913825274,0.914051685,0.003692957,26.14295176
0.837379724,0.837261985,0.004326606,-0.019104942,-0.019061339,0.002446149,55.60132408,55.64244528,0.429418813,0.805261999,0.805641482,0.003470572,0.386449963,0.386188478,0.012265176,-14760,-14791.91,184.1830756,0.230761893,0.230649549,0.011556902,0.088506628,0.088581931,0.002567297,1.918899715,1.920599686,0.031411199,0.914491057,0.914584072,0.005040909,29.76626367
0.861278415,0.861245926,0.002439048,-0.025111455,-0.025184786,0.001935501,56.91511345,56.84821129,0.618540779,0.819048673,0.818624362,0.003191782,0.457034245,0.45696537,0.007470611,-15040,-15010.93554,303.2475808,0.286568284,0.285895096,0.010163021,0.074530266,0.074551015,0.001408276,1.970508695,1.967709036,0.020120395,0.923958212,0.92350511,0.00307139,34.71583033
0.8311854,0.831025709,0.004068432,-0.026119891,-0.026480079,0.003181114,51.50815392,51.28934128,1.058511895,0.788264066,0.787694433,0.005476945,0.368978322,0.368603622,0.011384002,-12768,-12666.41323,497.4127962,0.271524191,0.275231208,0.013647886,0.092188705,0.092289506,0.002425555,1.839952111,1.839587302,0.030955644,0.901565075,0.901491144,0.00520717,29.58790917
0.866175532,0.866582347,0.00304543,-0.025755668,-0.025968569,0.00205247,55.37711525,55.31283765,0.509302114,0.822513998,0.82241256,0.002303938,0.472154826,0.473464088,0.009528586,-14154,-14123.04618,235.2506006,0.286145806,0.286117801,0.010044858,0.071710553,0.071479623,0.001745726,2.01072681,2.011996968,0.026907271,0.930214465,0.930313653,0.004034533,37.91018917
0.825893521,0.82491026,0.004815662,-0.022112577,-0.021197595,0.003765501,52.0757637,51.9031015,1.090546568,0.790171534,0.790279864,0.003928068,0.354306474,0.351694224,0.013148326,-13094,-13067.31285,502.8676772,0.250187412,0.2509076,0.01282297,0.095354125,0.095951518,0.002897158,1.821801066,1.81832091,0.039276937,0.898272365,0.897549748,0.006758702,32.41658663
0.844073266,0.8447982,0.005523692,-0.022298949,-0.021869067,0.003391035,51.16893578,51.01529793,1.030472859,0.808054715,0.808318847,0.004919177,0.405700669,0.407948089,0.016127499,-12402,-12327.24589,489.011801,0.261326626,0.261850307,0.019271505,0.084555607,0.084139343,0.003243291,1.891135454,1.899593733,0.034272338,0.910872102,0.911973913,0.005486181,38.59271902
0.809157491,0.809082491,0.006808173,-0.01726502,-0.017051891,0.003462507,53.85517311,53.42331529,1.779639317,0.782090157,0.781609738,0.00757949,0.309384912,0.309341541,0.017686812,-14308,-14119.79254,838.9816914,0.212664731,0.210125772,0.01154091,0.105486948,0.105546546,0.00417387,1.82747674,1.825970359,0.036404605,0.897928536,0.897528906,0.006402722,12.85867696
